股票代码,股票名称,记录编号,公告日期,分红年度,分配类型,实施年度,方案进度,送股(股/10股),转增(股/10股),派息税前(元/10股),每股派息税前(元),除权除息日,股权登记日,红股上市日,明细页税前红利(元),明细页税后红利(元),股东大会决议公告日,红利到账日,含现金分红,含送股,含转增,数据来源
600519,贵州茅台,600519-2010-06-29,2010-06-29,2009,年度分配（推断）,2010,实施,0.0,0.0,11.85,1.185,2010-07-05,2010-07-02,,11.85,10.67,2010-05-29,2010-07-09,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2010-06-29
600519,贵州茅台,600519-2009-06-25,2009-06-25,2008,年度分配（推断）,2009,实施,0.0,0.0,11.56,1.156,2009-07-01,2009-06-30,,11.56,10.4,2009-05-23,2009-07-07,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2009-06-25
600519,贵州茅台,600519-2008-06-10,2008-06-10,2007,年度分配（推断）,2008,实施,0.0,0.0,8.36,0.836,2008-06-16,2008-06-13,,8.36,7.52,2008-05-29,2008-06-20,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2008-06-10
600519,贵州茅台,600519-2007-07-09,2007-07-09,2006,年度分配（推断）,2007,实施,0.0,0.0,7.0,0.7,2007-07-13,2007-07-12,,7.0,6.3,2007-06-01,2007-07-19,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2007-07-09
600519,贵州茅台,600519-2006-05-22,2006-05-22,2005,年度分配（推断）,2006,实施,0.0,0.0,5.91,0.591,2006-05-24,2006-05-23,2006-05-25,5.91,5.32,2006-05-15,2006-05-29,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2006-05-22
600519,贵州茅台,600519-2006-05-17,2006-05-17,2005,年度分配（推断）,2006,实施,0.0,10.0,0.0,0.0,2006-05-19,2006-05-18,2006-05-25,,,2006-05-15,2006-05-19,否,否,是,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2006-05-17
600519,贵州茅台,600519-2006-05-15,2006-05-15,2005,年度分配（推断）,2006,实施,0.0,0.0,3.0,0.3,2006-05-19,2006-05-18,,3.0,2.7,2006-05-12,2006-05-23,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2006-05-15
600519,贵州茅台,600519-2005-07-30,2005-07-30,2004,年度分配（推断）,2005,实施,0.0,2.0,5.0,0.5,2005-08-05,2005-08-04,,5.0,,2005-06-30,2005-08-08,是,否,是,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2005-07-30
600519,贵州茅台,600519-2004-06-25,2004-06-25,2003,年度分配（推断）,2004,实施,0.0,3.0,3.0,0.3,2004-07-01,2004-06-30,,3.0,,2004-06-01,2004-07-01,是,否,是,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2004-06-25
600519,贵州茅台,600519-2003-07-08,2003-07-08,2002,年度分配（推断）,2003,实施,1.0,0.0,2.0,0.2,2003-07-14,2003-07-11,,2.0,,2003-06-13,2003-07-14,是,是,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2003-07-08
600519,贵州茅台,600519-2002-07-18,2002-07-18,2001,年度分配（推断）,2002,实施,0.0,1.0,6.0,0.6,2002-07-25,2002-07-24,,6.0,,2002-06-26,2002-07-25,是,否,是,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=600519&type=1&end_date=2002-07-18
601398,工商银行,601398-2026-08-29,2026-08-29,2025,年度分配（推断）,2026,预案,0.0,0.0,1.511,0.1511,,,,1.51,,,,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=601398&type=1&end_date=2026-08-29
601398,工商银行,601398-2026-05-07,2026-05-07,2025,年度分配（推断）,2026,实施,0.0,0.0,1.689,0.1689,2026-05-13,2026-05-12,,1.69,1.69,2026-04-24,2026-05-13,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=601398&type=1&end_date=2026-05-07
601398,工商银行,601398-2025-12-09,2025-12-09,2025,中期/特别分配（推断）,2025,实施,0.0,0.0,1.414,0.1414,2025-12-15,2025-12-12,,1.41,1.41,2025-11-29,2025-12-15,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=601398&type=1&end_date=2025-12-09
601398,工商银行,601398-2025-03-29,2025-03-29,2024,年度分配（推断）,2025,实施,0.0,0.0,1.646,0.1646,2025-07-14,2025-07-11,,1.65,,2025-06-28,2025-07-14,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=601398&type=1&end_date=2025-03-29
601398,工商银行,601398-2024-12-31,2024-12-31,2024,中期/特别分配（推断）,2025,实施,0.0,0.0,1.434,0.1434,2025-01-07,2025-01-06,,1.43,1.43,2024-12-03,2025-01-07,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=601398&type=1&end_date=2024-12-31
601398,工商银行,601398-2024-07-09,2024-07-09,2023,年度分配（推断）,2024,实施,0.0,0.0,3.064,0.3064,2024-07-16,2024-07-15,,3.06,3.06,2024-06-29,2024-07-16,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=601398&type=1&end_date=2024-07-09
601398,工商银行,601398-2023-07-11,2023-07-11,2022,年度分配（推断）,2023,实施,0.0,0.0,3.035,0.3035,2023-07-17,2023-07-14,,3.04,3.04,2023-06-30,2023-07-17,是,否,否,http://vip.stock.finance.sina.com.cn/corp/view/vISSUE_ShareBonusDetail.php?stockid=601398&type=1&end_date=2023-07-11
